fid,lo_tp_quad,lo_tp_lote,SQL,IPTU22_QtdProprietarios,IPTU22_AnoConstrucaoCorrigido,IPTU22_AreaTerreno,IPTU22_AreaConstruida,IPTU22_AreaOcupada,IPTU22_CA,IPTU22_QtdPavimentos,IPTU22_QtdEsquinas,IPTU22_TipoTerreno,IPTU22_Testada,IPTU_Progressivo,PEUC,Tombado,Ocupado,Publico,UnicoDono,Tipologia
"1",F,F,"0030690000","1","1992","9566.0","62.0","702.0","0","200","1.0",De esquina,"123,13",Não,Não,Não,Não,Não,Sim,Residencial
"2",F,F,"0030440035","1","0","400.0","0.0","0.0","0","0","0.0",Normal,"7,95",Não,Não,Não,Não,Não,Sim,Terreno
"3",F,F,"0030370028","1","1962","103.0","220.0","103.0","21","20","0.0",Normal,"5,15",Não,Não,Não,Não,Não,Sim,Não Residencial
"5",F,F,"0030410096","1","1939","68.0","50.0","50.0","7","10","0.0",Normal,"4,75",Não,Não,Não,Não,Não,Sim,Residencial
"6",F,F,"0030120002","1","1944","206.0","161.0","161.0","8","10","0.0",Normal,"4,75",Não,Não,Não,Não,Não,Sim,Uso Misto
"7",F,F,"0030120000","2","1979","253.0","168.0","253.0","20","90","1.0",De esquina,"16,00",Não,Não,Não,Não,Não,Não,Não Residencial
"8",F,F,"0030130036","1","1964","81.0","100.0","50.0","12","20","0.0",Normal,"5,20",Não,Não,Não,Não,Não,Sim,Residencial
"10",F,F,"0030110017","1","1970","372.0","372.0","372.0","10","10","0.0",Normal,"6,20",Não,Não,Não,Não,Não,Sim,Não Residencial
"11",F,F,"0030640006","1","1964","417.0","385.0","385.0","9","10","0.0",Normal,"14,60",Não,Não,Não,Não,Não,Sim,Não Residencial
"12",F,F,"0030640031","1","1976","354.0","879.0","293.0","25","30","0.0",Normal,"12,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"13",F,F,"0030640019","1","1973","177.0","200.0","100.0","11","20","0.0",Normal,"6,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"14",F,F,"0030100027","1","1947","1845.0","2215.0","1845.0","12","20","2.0",De duas ou mais,"40,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"15",F,F,"0030190117","1","1943","100.0","100.0","100.0","10","10","0.0",Normal,"5,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"16",F,F,"0030620032","1","1944","111.0","111.0","111.0","10","10","0.0",Normal,"4,62",Não,Não,Não,Não,Não,Sim,Residencial
"17",F,F,"0030600021","1","1981","195.0","608.0","195.0","31","40","1.0",De esquina,"34,50",Não,Não,Não,Não,Não,Sim,Não Residencial
"19",F,F,"0030140175","1","1964","150.0","244.0","120.0","16","20","0.0",Normal,"6,00",Não,Não,Não,Não,Não,Sim,Residencial
"21",F,F,"0030120017","1","1970","100.0","100.0","50.0","10","20","1.0",De esquina,"10,25",Não,Não,Não,Não,Não,Sim,Uso Misto
"22",F,F,"0030120018","1","1970","207.0","250.0","125.0","12","20","0.0",Normal,"20,70",Não,Não,Não,Não,Não,Sim,Residencial
"23",F,F,"0030110050","1","1970","58.0","150.0","50.0","26","30","0.0",Normal,"8,85",Não,Não,Não,Não,Não,Sim,Uso Misto
"24",F,F,"0030110051","1","1970","50.0","180.0","40.0","36","20","1.0",De esquina,"10,90",Não,Não,Não,Não,Não,Sim,Uso Misto
"26",F,F,"0030410127","1","1934","52.0","50.0","50.0","10","10","0.0",Terreno interno,"4,00",Não,Não,Não,Não,Não,Sim,Residencial
"27",F,F,"0030270020","1","1959","66.0","63.0","63.0","10","10","0.0",Terreno interno,"3,00",Não,Não,Não,Não,Não,Sim,Residencial
"28",F,F,"0030410027","1","1986","109.0","311.0","80.0","29","30","0.0",Normal,"5,10",Não,Não,Não,Não,Não,Sim,Não Residencial
"29",F,F,"0030410179","1","1949","707.0","947.0","707.0","13","20","0.0",Normal,"11,40",Não,Não,Não,Não,Não,Sim,Uso Misto
"31",F,F,"0030410131","1","1954","72.0","60.0","60.0","8","10","0.0",Terreno interno,"4,00",Não,Não,Não,Não,Não,Sim,Residencial
"32",F,F,"0030130044","1","1964","65.0","80.0","50.0","12","20","0.0",Normal,"5,15",Não,Não,Não,Não,Não,Sim,Residencial
"33",F,F,"0030210040","1","1959","195.0","150.0","75.0","8","20","0.0",Normal,"6,50",Não,Não,Não,Não,Não,Sim,Uso Misto
"35",F,F,"0030110152","1","1976","719.0","701.0","701.0","10","10","2.0",De duas ou mais,"34,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"36",F,F,"0030460033","1","1977","98.0","156.0","78.0","16","20","0.0",Normal,"4,90",Não,Sim,Não,Não,Não,Sim,Não Residencial
"37",F,F,"0030220001","1","1966","64.0","75.0","50.0","12","20","0.0",Normal,"8,10",Não,Não,Não,Não,Não,Sim,Uso Misto
"38",F,F,"0030410210","1","1939","86.0","60.0","60.0","7","10","0.0",Terreno interno,"5,70",Não,Não,Não,Não,Não,Sim,Residencial
"39",F,F,"0030410209","1","1934","82.0","100.0","50.0","12","20","0.0",Normal,"5,10",Não,Não,Não,Não,Não,Sim,Uso Misto
"40",F,F,"0030130052","1","1970","61.0","100.0","50.0","16","20","0.0",Normal,"5,05",Não,Não,Não,Não,Não,Sim,Residencial
"41",F,F,"0030440111","1","1955","304.0","400.0","304.0","13","20","0.0",Normal,"5,75",Não,Não,Não,Não,Não,Sim,Uso Misto
"42",F,F,"0030130135","1","1973","250.0","200.0","200.0","8","10","0.0",Normal,"4,80",Não,Não,Não,Não,Não,Sim,Uso Misto
"43",F,F,"0030130134","1","1929","250.0","230.0","230.0","9","10","0.0",Normal,"4,95",Não,Não,Não,Não,Não,Sim,Residencial
"44",F,F,"0030190228","1","1934","508.0","600.0","508.0","12","20","0.0",Normal,"10,50",Não,Não,Não,Não,Não,Sim,Não Residencial
"46",F,F,"0030200050","1","1939","161.0","130.0","65.0","8","20","0.0",Normal,"5,00",Não,Não,Não,Não,Não,Sim,Uso Misto
"47",F,F,"0030110165","1","0","1053.0","0.0","0.0","0","0","2.0",De duas ou mais,"33,40",Não,Não,Não,Não,Não,Sim,Terreno
"48",F,F,"0030160058","1","1990","1448.0","403.0","403.0","3","10","0.0",Lote encravado,"0,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"49",F,F,"0030200116","1","1966","992.0","1099.0","992.0","11","20","0.0",Normal,"11,50",Não,Não,Não,Não,Não,Sim,Não Residencial
"50",F,F,"0030600105","1","1974","5788.0","5982.0","5788.0","10","20","2.0",De duas ou mais,"150,36",Não,Não,Em processo,Não,Não,Sim,Não Residencial
"53",F,F,"0030210006","1","1960","105.0","120.0","80.0","11","20","0.0",Normal,"5,00",Não,Não,Não,Não,Não,Sim,Residencial
"55",F,F,"0030280005","1","1919","202.0","250.0","125.0","12","20","0.0",Normal,"6,40",Não,Não,Não,Não,Não,Sim,Uso Misto
"56",F,F,"0030210009","1","1949","226.0","250.0","125.0","11","20","0.0",Normal,"8,10",Não,Não,Não,Não,Não,Sim,Residencial
"57",F,F,"0030210025","1","1939","150.0","130.0","120.0","9","10","0.0",Normal,"6,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"58",F,F,"0030210008","1","1959","122.0","268.0","120.0","22","30","0.0",Normal,"6,90",Não,Não,Não,Não,Não,Sim,Uso Misto
"59",F,F,"0030270004","1","1970","96.0","285.0","50.0","30","40","0.0",Normal,"3,80",Não,Não,Não,Não,Não,Sim,Uso Misto
"61",F,F,"0030270005","1","1959","76.0","60.0","60.0","8","10","0.0",Normal,"4,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"62",F,F,"0030130126","1","1986","528.0","652.0","528.0","12","20","0.0",Normal,"8,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"64",F,F,"0030190111","1","1954","91.0","70.0","70.0","8","10","0.0",Normal,"5,55",Não,Não,Não,Não,Não,Sim,Não Residencial
